"","County Name","State","Land area","Total population","Percent of population aged 18-34","Percent of the population 65 or older","Number of active physicians","Number of hospital beds","Total serious crimes","Percent high school graduates","Percent bachelor¡¯s degree","Percent below poverty level","Percent unemployment","Per capita income","Total personal income","Geographic region"
"48","Montgomery","MD",495,757027,28.6,10.2,4635,1507,34754,90.6,49.9,2.7,3.3,30081,22772,"S"
"98","San_Joaquin","CA",1399,480628,27.7,11.1,666,1051,41179,68.6,13.2,12,12,15453,7427,"W"
"357","Centre","PA",1108,123786,45,9,178,270,4136,83.6,32.3,6.2,6.1,15476,1916,"NE"
"4","San_Diego","CA",4205,2498016,33.5,10.9,5905,6179,173821,81.9,25.3,8.1,6.1,19588,48931,"W"
"162","Butler","OH",467,291479,29.9,10.2,308,878,13850,76,18.7,7.6,6.6,16750,4882,"NC"
"160","Charleston","SC",917,295039,34.1,10.1,1357,1956,28190,75.5,22.4,13.8,4.9,16015,4725,"S"
"156","Washington","OR",724,311554,27.6,10.1,353,294,12630,88.2,29.8,4.8,4.4,19932,6210,"W"
"164","Lehigh","PA",347,291130,26.3,15.4,637,1305,12254,74.6,19.6,4.9,6.6,19785,5760,"NE"
"147","Berks","PA",859,336523,26.1,15.6,567,1041,12827,70,15.1,5.2,6.7,19655,6614,"NE"
"69","San_Mateo","CA",449,649623,28.4,12.3,1814,1642,30473,84.1,31.3,4.3,4.2,28819,18721,"W"
"358","Tazewell","IL",649,123692,23.9,13.2,98,297,3140,78.6,13.6,7.1,7.4,18008,2227,"NC"
"233","Ada","ID",1055,205775,27.6,10.4,367,557,9701,87.2,24.9,6.2,4.1,18786,3866,"W"
"58","Montgomery","PA",483,678111,26.1,15,3237,2425,20335,83.8,32.1,2.2,5,28462,19300,"NE"
"407","Columbiana","OH",533,108276,23.4,14.9,80,485,898,71.8,8.5,13,6.7,12597,1364,"NC"
"142","Gwinnett","GA",433,352910,32.6,4.7,271,439,17119,86.7,29.6,2.9,4,19861,7009,"S"
"343","Madison","IN",452,130669,25.5,14,140,655,5373,73.5,11.7,10.3,7.5,16018,2093,"NC"
"361","Wichita","TX",628,122378,29.5,12.8,243,457,10727,75.1,16.5,12.5,6.8,17119,2095,"S"
"292","Schuylkill","PA",779,152585,22.9,20,147,634,2119,68.4,8.1,7.7,9.7,15853,2419,"NE"
"148","Hillsborough","NH",877,336073,30,10.3,587,1050,12843,82.2,26.4,4,7.5,22581,7589,"NE"
"398","Charlotte","FL",694,110975,16.6,33.8,183,632,3741,75.7,13.4,5.2,7.2,16362,1816,"S"
"108","Cobb","GA",340,447745,31.7,6.3,622,983,27582,85.8,33,3.8,4.1,21933,9820,"S"
"311","Jackson","OR",2785,146389,22.1,16.2,263,522,7170,80.1,17.6,9.7,7.6,15582,2281,"W"
"140","Monterey","CA",3322,355660,32.6,9.8,515,602,17870,72.9,21.5,8.5,10.9,19465,6923,"W"
"395","Comanche","OK",1069,111486,34.5,8.7,127,347,5979,81.1,18.4,13.3,6.6,13228,1475,"S"
"163","Nueces","TX",836,291145,27.3,10.1,584,1406,28606,68.9,17,17.2,7.7,15124,4403,"S"
"276","Harrison","MS",581,165365,30,10.8,313,764,7043,74.7,16.3,15.4,6.7,13691,2264,"S"
"329","Rock","WI",721,139510,26.2,12.6,171,491,7643,78.2,13.3,7.8,9.7,16742,2336,"NC"
"106","Passaic","NJ",185,453060,28.9,12.9,831,1912,26434,68.8,18.7,7.6,8.1,21973,9955,"NE"
"339","Chittenden","VT",539,131761,35.8,8.1,696,573,4739,86.7,34,5,4.4,19940,2627,"NE"
"83","Delaware","PA",184,547651,27.6,15.5,1374,1588,18924,81.4,24.8,5,5.3,23658,12956,"NE"
"152","Mercer","NJ",226,325824,29.2,13,994,1724,20153,77.1,29.5,5.3,5.5,26026,8480,"NE"
"166","Richland","SC",757,285720,34.7,9.5,999,1207,24101,79.4,28,10.1,4.6,17137,4896,"S"
"352","Bay","FL",764,126994,27.7,12,178,478,8634,74.7,15.7,11.2,8,14814,1881,"S"
"257","Clayton","GA",143,182052,32.4,5.8,191,346,15419,77.2,14.7,7.3,5.8,16171,2944,"S"
"327","Winnebago","WI",439,140320,30.3,12.8,242,528,6170,80.6,18.2,5.3,4.8,17645,2476,"NC"
"401","Rowan","NC",511,110605,26,15.2,114,244,5233,66,11.7,6.8,5.4,15691,1736,"S"
"416","Midland","TX",900,106611,26.8,9,139,333,7546,76.8,26.4,11.5,5.4,19345,2062,"S"
"335","Hampton_City","VA",52,133793,33,9.6,163,251,8376,79.7,19.1,8.8,6.8,14743,1973,"S"
"62","Essex","MA",498,670080,27.3,14.1,1185,2009,34312,80.2,25.9,7.5,9,22834,15301,"NE"
"415","Yuma","AZ",5514,106895,27.4,13.8,118,197,5414,64.9,12.7,15.4,17.8,11490,1228,"W"
"191","Washoe","NV",6343,254667,29.5,10.3,603,990,18831,82.5,20.7,6.3,5,21327,5431,"W"
"227","Broome","NY",707,212160,28.6,15,460,816,7435,78.9,20.7,6.5,5.9,18058,3831,"NE"
"79","Travis","TX",989,576407,38,7.3,1254,1392,60961,83.4,34.7,10.2,4.8,18340,10571,"S"
"40","Shelby","TN",755,826330,29.4,10.4,2489,4918,67032,75.1,20.8,14.7,5.4,18430,15229,"S"
"251","Beaver","PA",435,186093,23.6,16.9,197,616,4088,74.9,11.9,10.8,9.7,15162,2822,"NE"
"149","Knox","TN",509,335749,30,12.7,984,2178,22422,74.6,23.9,10.2,4.6,17382,5836,"S"
"438","Montgomery","TN",539,100498,35.7,7.9,87,188,6537,77.9,16.5,10.8,8,13169,1323,"S"
"279","Lafayette","LA",270,164762,31.1,8.3,361,1018,10599,73.3,22.5,16.2,5,16868,2779,"S"
